Title,Year,Age
"Breaking Bad",2008,18
"Stranger Things",2016,16
"Attack on Titan",2013,18
"Better Call Saul",2015,18
"Dark",2017,16
"Avatar: The Last Airbender",2005,7
"Peaky Blinders",2013,18
"The Walking Dead",2010,18
"Black Mirror",2011,18
"The Queen's Gambit",2020,18
"Mindhunter",2017,18
"Community",2009,7
"Narcos",2015,18
"Shameless",2011,18
"Money Heist",2017,18
"Marvel's Daredevil",2015,18
"Lucifer",2016,16
"Supernatural",2005,16
"The Witcher",2019,18
"Ozark",2017,18
"The Crown",2016,18
"Cobra Kai",2018,16
"The Blacklist",2013,16
"The Flash",2014,16
"Outlander",2014,18
"Fullmetal Alchemist: Brotherhood",2009,16
"The Good Place",2016,16
"House of Cards",2013,18
"Atypical",2017,16
"Grey's Anatomy",2005,16
"Arrested Development",2003,16
"Lupin",2021,18
"The Umbrella Academy",2019,16
"Orange Is the New Black",2013,18
"The Vampire Diaries",2009,16
"Demon Slayer: Kimetsu no Yaiba",2019,18
"The Last Dance",2020,16
"American Horror Story",2011,18
"Elite",2018,18
"BoJack Horseman",2014,18
"Star Trek: The Next Generation",1987,7
"Broadchurch",2013,18
"The IT Crowd",2006,16
"When They See Us",2019,18
"Love, Death & Robots",2019,18
"Schitt's Creek",2015,16
"Marvel's Agents of S.H.I.E.L.D.",2013,16
"Never Have I Ever",2020,16
"The 100",2014,16
"American Crime Story",2016,18
"The Last Kingdom",2015,18
"The End of the F***ing World",2017,18
"New Girl",2011,16
"Penny Dreadful",2014,18
"One Piece",1999,7
"Marvel's The Punisher",2017,18
"Evil",2019,18
"YOU",2018,18
"Sense8",2015,18
"Making a Murderer",2015,16
"Unbelievable",2019,18
"Arrow",2012,16
"Sex Education",2019,18
"Marvel's Jessica Jones",2015,18
"Sweet Tooth",2021,16
"Good Girls",2018,16
"Death Note",2006,16
"Gilmore Girls",2000,16
"The Legend of Korra",2012,7
"How to Get Away with Murder",2014,16
"Master of None",2015,18
"Chappelle's Show",2003,18
"One-Punch Man",2015,7
"Downton Abbey",2010,16
"Gotham",2014,16
"Pose",2018,18
"Bodyguard",2018,18
"Altered Carbon",2018,18
"Ash vs Evil Dead",2015,18
"The Sinner",2017,16
"Narcos: Mexico",2018,18
"Shadow and Bone",2021,16
"Castlevania",2017,18
"Star Trek",1966,7
"The Kominsky Method",2018,18
"Hunter x Hunter",2011,16
"Dead to Me",2019,18
"The Haunting of Hill House",2018,18
"Russian Doll",2019,18
"Kingdom",2019,18
"Neon Genesis Evangelion",1995,16
"Naruto",2002,7
"NCIS",2003,16
"Manifest",2018,16
"Halt and Catch Fire",2014,16
"Monty Python's Flying Circus",1969,16
"After Life",2019,18
"Riverdale",2017,16
"Big Mouth",2017,18
"I Think You Should Leave with Tim Robinson",2019,18
"Derry Girls",2018,16
"The Promised Neverland",2019,18
"Lost in Space",2018,7
"Star Trek: Deep Space Nine",1993,7
"Jane the Virgin",2014,16
"Godless",2017,18
"The OA",2016,18
"DC's Legends of Tomorrow",2016,16
"Sacred Games",2018,18
"iZombie",2015,16
"Longmire",2012,16
"Happy Endings",2011,16
"Into the Badlands",2015,16
"The Originals",2013,16
"Grace and Frankie",2015,18
"Chilling Adventures of Sabrina",2018,16
"Queen of the South",2016,16
"A Series of Unfortunate Events",2017,7
"Unorthodox",2020,18
"Stargate SG-1",1997,13
"Outer Banks",2020,18
"13 Reasons Why",2017,18
"Unbreakable Kimmy Schmidt",2015,16
"Marvel's Luke Cage",2016,18
"GLOW",2017,18
"Borgen",2010,18
"The 4400",2004,7
"Alias Grace",2017,18
"All American",2018,16
"Santa Clarita Diet",2017,18
"Reign",2013,16
"Maniac",2018,18
"Dark Matter",2015,18
"Star Trek: Voyager",1995,7
"Tiger King: Murder, Mayhem and Madness",2020,18
"Call the Midwife",2012,16
"Queer Eye",2018,16
"American Vandal",2017,16
"Wynonna Earp",2016,16
"Marvel's The Defenders",2017,18
"HAPPY!",2017,18
"Haikyu!!",2014,16
"Colony",2016,16
"Heartland",2007,7
"Alone",2015,16
"Marco Polo",2014,18
"Wild Wild Country",2018,16
"The Dragon Prince",2018,7
"Locke & Key",2020,16
"Love",2016,18
"One Day at a Time",2017,7
"Feel Good",2020,18
"Fauda",2015,16
"The Dark Crystal: Age of Resistance",2019,7
"Top Boy",2011,18
"I Am Not Okay with This",2020,18
"Supergirl",2015,16
"The Shannara Chronicles",2016,16
"Designated Survivor",2016,7
"Travelers",2016,16
"StartUp",2016,18
"Ripper Street",2012,18
"Episodes",2011,18
"Crazy Ex-Girlfriend",2015,16
"Bloodline",2015,18
"Black Summer",2019,18
"The Borgias",2011,18
"Glee",2009,16
"The Stranger",2020,18
"Virgin River",2019,16
"Lilyhammer",2012,18
"Dirty John",2018,18
"TURN: Washington's Spies",2014,16
"Star Trek: Enterprise",2001,7
"Merlin",2008,7
"The Magicians",2015,16
"Ginny & Georgia",2021,16
"The Spy",2019,18
"On My Block",2018,16
"The Movies That Made Us",2019,18
"Biohackers",2020,18
"The Seven Deadly Sins",2014,16
"The Keepers",2017,16
"F is for Family",2015,18
"The Midnight Gospel",2020,18
"Ragnarok",2020,18
"Legacies",2018,16
"The Order",2019,18
"Disenchantment",2018,16
"Dead Set",2008,18
"Dirty Money",2018,16
"The Staircase",2005,16
"Soul Eater",2008,16
"Into the Night",2020,18
"Julie and the Phantoms",2020,7
"Leyla ile Mecnun",2011,7
